Date,Price,Open,High,Low,Change %
8/7/2026,2.754,2.757,2.758,2.748,0.53%
8/6/2026,2.739,2.733,2.743,2.716,0.86%
8/5/2026,2.716,2.701,2.737,2.695,0.00%
8/4/2026,2.716,2.769,2.781,2.707,-1.77%
8/3/2026,2.765,2.821,2.821,2.748,-1.62%
7/31/2026,2.811,2.759,2.819,2.756,1.43%
7/30/2026,2.771,2.815,2.815,2.761,-1.11%
7/29/2026,2.802,2.762,2.805,2.756,2.21%
7/28/2026,2.742,2.793,2.793,2.738,-1.45%
7/27/2026,2.782,2.797,2.799,2.767,-1.33%
7/24/2026,2.819,2.879,2.88,2.819,-2.52%
7/23/2026,2.892,2.849,2.894,2.839,1.75%
7/22/2026,2.842,2.803,2.848,2.798,1.69%
7/21/2026,2.795,2.776,2.812,2.768,0.65%
7/20/2026,2.777,2.817,2.817,2.757,0.11%
7/17/2026,2.774,2.756,2.781,2.742,0.59%
7/16/2026,2.758,2.745,2.78,2.735,1.18%
7/15/2026,2.726,2.75,2.766,2.721,0.11%
7/14/2026,2.723,2.728,2.799,2.721,0.15%
7/13/2026,2.719,2.655,2.72,2.652,2.63%
7/10/2026,2.649,2.657,2.662,2.626,-0.03%
7/9/2026,2.65,2.714,2.719,2.65,-2.03%
7/8/2026,2.705,2.604,2.705,2.596,4.82%
7/7/2026,2.58,2.556,2.595,2.556,1.50%
7/6/2026,2.542,2.539,2.543,2.515,0.17%
7/3/2026,2.538,2.506,2.54,2.502,1.78%
7/2/2026,2.494,2.527,2.539,2.493,-0.70%
7/1/2026,2.511,2.538,2.551,2.51,-0.94%
6/30/2026,2.535,2.545,2.549,2.506,-0.31%
6/29/2026,2.543,2.528,2.549,2.524,1.11%
6/26/2026,2.515,2.532,2.534,2.506,-0.91%
6/25/2026,2.538,2.558,2.567,2.524,-0.77%
6/24/2026,2.558,2.583,2.588,2.539,-0.65%
6/23/2026,2.575,2.604,2.605,2.559,-0.79%
6/22/2026,2.595,2.638,2.644,2.585,-1.86%
6/19/2026,2.644,2.638,2.648,2.62,1.63%
6/18/2026,2.602,2.607,2.644,2.595,0.69%
6/17/2026,2.584,2.571,2.591,2.553,0.00%
6/16/2026,2.585,2.582,2.588,2.55,0.54%
6/15/2026,2.571,2.591,2.605,2.547,-1.82%
6/12/2026,2.618,2.641,2.641,2.581,-1.98%
6/11/2026,2.671,2.719,2.724,2.657,-1.22%
6/10/2026,2.704,2.683,2.718,2.67,0.90%
6/9/2026,2.68,2.709,2.709,2.657,-0.80%
6/8/2026,2.702,2.712,2.734,2.677,0.47%
6/5/2026,2.689,2.659,2.696,2.636,1.21%
6/4/2026,2.657,2.678,2.68,2.637,-0.68%
6/3/2026,2.675,2.64,2.682,2.634,2.16%
6/2/2026,2.618,2.589,2.625,2.571,-0.28%
6/1/2026,2.626,2.567,2.647,2.538,3.69%
5/29/2026,2.532,2.56,2.574,2.522,-1.00%
5/28/2026,2.558,2.601,2.622,2.528,-0.59%
5/27/2026,2.573,2.576,2.588,2.543,-0.87%
5/26/2026,2.596,2.533,2.597,2.532,2.38%
5/25/2026,2.535,2.642,2.642,2.523,-3.83%
5/22/2026,2.636,2.671,2.674,2.599,-1.59%
5/21/2026,2.679,2.668,2.703,2.622,1.18%
5/20/2026,2.648,2.735,2.744,2.631,-3.63%
5/19/2026,2.747,2.711,2.757,2.685,1.00%
5/18/2026,2.72,2.745,2.755,2.677,-0.24%
5/15/2026,2.727,2.654,2.736,2.654,2.55%
5/14/2026,2.659,2.714,2.714,2.648,-2.22%
5/13/2026,2.719,2.714,2.719,2.684,0.56%
5/12/2026,2.704,2.667,2.715,2.66,2.22%
5/11/2026,2.645,2.617,2.656,2.61,2.04%
5/8/2026,2.592,2.608,2.614,2.571,0.84%
5/7/2026,2.571,2.581,2.584,2.518,0.43%
5/6/2026,2.56,2.644,2.666,2.505,-4.45%
5/5/2026,2.679,2.712,2.724,2.677,-1.58%
5/4/2026,2.722,2.639,2.723,2.638,2.92%
5/1/2026,2.645,2.645,2.645,2.645,0.47%
4/30/2026,2.632,2.752,2.761,2.632,-3.17%
4/29/2026,2.718,2.654,2.718,2.645,3.00%
4/28/2026,2.639,2.572,2.668,2.572,2.56%
4/27/2026,2.573,2.549,2.579,2.532,0.35%
4/24/2026,2.564,2.609,2.61,2.548,0.31%
4/23/2026,2.556,2.579,2.592,2.539,0.46%
4/22/2026,2.545,2.526,2.546,2.501,0.96%
4/21/2026,2.52,2.46,2.521,2.447,2.75%
4/20/2026,2.453,2.455,2.487,2.438,1.26%
4/17/2026,2.422,2.531,2.551,2.401,-3.99%
4/16/2026,2.523,2.533,2.533,2.479,-0.72%
4/15/2026,2.542,2.538,2.555,2.513,-0.13%
4/14/2026,2.545,2.603,2.639,2.539,-3.61%
4/13/2026,2.64,2.634,2.647,2.595,2.18%
4/10/2026,2.584,2.545,2.591,2.533,1.52%
4/9/2026,2.545,2.522,2.575,2.509,2.11%
4/8/2026,2.493,2.493,2.524,2.446,-8.64%
4/7/2026,2.728,2.648,2.739,2.629,4.23%
4/6/2026,2.618,2.617,2.618,2.617,0.02%
4/3/2026,2.617,2.617,2.617,2.617,-0.27%
4/2/2026,2.624,2.614,2.672,2.606,0.65%
4/1/2026,2.607,2.595,2.612,2.53,-0.55%
3/31/2026,2.622,2.608,2.656,2.602,-0.05%
3/30/2026,2.623,2.659,2.697,2.615,-1.97%
3/27/2026,2.676,2.736,2.771,2.665,-1.39%
3/26/2026,2.714,2.652,2.714,2.633,4.39%
3/25/2026,2.599,2.623,2.64,2.572,-1.66%
3/24/2026,2.643,2.603,2.664,2.571,1.00%
3/23/2026,2.617,2.714,2.764,2.512,-1.88%
3/20/2026,2.667,2.593,2.671,2.518,3.96%
3/19/2026,2.566,2.492,2.618,2.452,4.88%
3/18/2026,2.446,2.394,2.467,2.364,2.88%
3/17/2026,2.378,2.411,2.415,2.367,-1.33%
3/16/2026,2.41,2.432,2.444,2.373,-0.74%
3/13/2026,2.428,2.432,2.455,2.371,1.56%
3/12/2026,2.39,2.385,2.432,2.369,-0.08%
3/11/2026,2.392,2.279,2.4,2.276,5.38%
3/10/2026,2.27,2.298,2.302,2.236,-2.36%
3/9/2026,2.325,2.461,2.476,2.316,0.61%
3/6/2026,2.311,2.246,2.378,2.216,2.28%
3/5/2026,2.259,2.153,2.259,2.148,5.89%
3/4/2026,2.134,2.165,2.185,2.13,-1.98%
3/3/2026,2.177,2.095,2.236,2.095,4.39%
3/2/2026,2.085,1.998,2.089,1.998,3.83%
2/27/2026,2.009,2.038,2.045,2.005,-1.95%
2/26/2026,2.049,2.051,2.055,2.033,-0.41%
2/25/2026,2.057,2.059,2.073,2.046,0.27%
2/24/2026,2.051,2.048,2.061,2.036,0.31%
2/23/2026,2.045,2.065,2.075,2.043,-1.17%
2/20/2026,2.069,2.06,2.077,2.048,0.61%
2/19/2026,2.057,2.064,2.086,2.055,0.19%
2/18/2026,2.053,2.059,2.073,2.043,0.17%
2/17/2026,2.049,2.049,2.052,2.029,-0.10%
2/16/2026,2.052,2.053,2.076,2.04,1.33%
2/13/2026,2.025,2.044,2.046,2.006,-0.55%
2/12/2026,2.036,2.065,2.067,2.036,-0.76%
2/11/2026,2.051,2.055,2.069,2.04,0.14%
2/10/2026,2.048,2.052,2.069,2.044,-0.43%
2/9/2026,2.057,2.086,2.086,2.051,-0.59%
2/6/2026,2.069,2.059,2.076,2.046,-0.05%
2/5/2026,2.07,2.09,2.103,2.056,-0.14%
2/4/2026,2.073,2.1,2.108,2.072,-1.26%
2/3/2026,2.1,2.116,2.118,2.093,0.19%
2/2/2026,2.096,2.072,2.098,2.063,1.39%
1/30/2026,2.067,2.067,2.083,2.056,0.43%
1/29/2026,2.058,2.089,2.09,2.049,-0.76%
1/28/2026,2.074,2.087,2.094,2.064,-1.25%
1/27/2026,2.1,2.114,2.129,2.093,-0.62%
1/26/2026,2.113,2.139,2.141,2.105,-0.76%
1/23/2026,2.129,2.131,2.149,2.109,0.62%
1/22/2026,2.116,2.113,2.123,2.091,1.01%
1/21/2026,2.095,2.071,2.096,2.049,1.08%
1/20/2026,2.073,2.095,2.1,2.068,-0.54%
1/19/2026,2.084,2.102,2.103,2.072,-1.66%
1/16/2026,2.119,2.115,2.129,2.099,0.67%
1/15/2026,2.105,2.09,2.111,2.083,1.00%
1/14/2026,2.084,2.1,2.112,2.075,-0.61%
1/13/2026,2.097,2.104,2.124,2.095,-0.07%
1/12/2026,2.098,2.12,2.121,2.095,-0.40%
1/9/2026,2.107,2.107,2.117,2.096,0.39%
1/8/2026,2.099,2.096,2.12,2.085,0.48%
1/7/2026,2.089,2.114,2.114,2.075,-0.55%
1/6/2026,2.1,2.145,2.145,2.094,-1.42%
1/5/2026,2.13,2.146,2.16,2.129,-1.83%
1/2/2026,2.17,2.145,2.17,2.116,2.23%
1/1/2026,2.123,2.127,2.127,2.123,0.00%
12/31/2025,2.123,2.127,2.127,2.123,0.30%
12/30/2025,2.116,2.122,2.141,2.109,-0.11%
12/29/2025,2.119,2.148,2.161,2.113,-1.32%
12/26/2025,2.147,2.148,2.148,2.147,0.00%
12/25/2025,2.147,2.148,2.148,2.147,0.00%
12/24/2025,2.147,2.148,2.148,2.147,-0.12%
12/23/2025,2.149,2.155,2.172,2.143,-0.44%
12/22/2025,2.159,2.161,2.186,2.151,-0.06%
12/19/2025,2.16,2.156,2.169,2.135,0.66%
12/18/2025,2.146,2.135,2.164,2.121,0.27%
12/17/2025,2.14,2.133,2.153,2.123,0.00%
12/16/2025,2.14,2.17,2.17,2.135,-0.81%
12/15/2025,2.158,2.178,2.178,2.145,-0.11%
12/12/2025,2.16,2.179,2.18,2.155,-0.42%
12/11/2025,2.169,2.19,2.191,2.158,-0.65%
12/10/2025,2.183,2.16,2.203,2.157,1.35%
12/9/2025,2.154,2.164,2.184,2.146,-0.37%
12/8/2025,2.162,2.115,2.178,2.108,3.05%
12/5/2025,2.098,2.084,2.106,2.072,1.08%
12/4/2025,2.076,2.062,2.079,2.06,0.93%
12/3/2025,2.057,2.057,2.068,2.042,-0.34%
12/2/2025,2.064,2.068,2.08,2.051,-0.04%
12/1/2025,2.065,2.032,2.073,2.032,1.69%
11/28/2025,2.03,2.036,2.042,2.023,0.05%
11/27/2025,2.029,2.021,2.047,2.021,0.15%
11/26/2025,2.026,2.021,2.033,2.008,0.35%
