Date,CPI,HICP,GER2Y,GER10Y,USA2Y,USA10Y,EURUSD
1999-01-01,164.7,57.07,3.071,3.863,4.575,4.677,1.168
1999-01-02,164.7,57.07,3.071,3.863,4.575,4.677,1.1723999999999999
1999-01-03,164.7,57.07,3.071,3.863,4.575,4.677,1.1768
1999-01-04,164.7,57.07,3.071,3.748,4.575,4.677,1.1812
1999-01-05,164.7,57.07,3.089,3.791,4.641,4.745,1.1755
1999-01-06,164.7,57.07,3.051,3.768,4.591,4.709,1.1625
1999-01-07,164.7,57.07,3.02,3.711,4.641,4.773,1.1708
1999-01-08,164.7,57.07,3.013,3.714,4.725,4.87,1.158
1999-01-09,164.7,57.07,3.0233333333333334,3.7173333333333334,4.730666666666666,4.881,1.1555
1999-01-10,164.7,57.07,3.0336666666666665,3.720666666666667,4.7363333333333335,4.8919999999999995,1.153
1999-01-11,164.7,57.07,3.044,3.724,4.742,4.903,1.1505
1999-01-12,164.7,57.07,2.982,3.805,4.658,4.81,1.1554
1999-01-13,164.7,57.07,2.905,3.672,4.607,4.709,1.1678
1999-01-14,164.7,57.07,2.905,3.712,4.456,4.606,1.1678
1999-01-15,164.7,57.07,2.856,3.677,4.573,4.685,1.156
1999-01-16,164.7,57.07,2.8486666666666665,3.683,4.58575,4.692,1.1571666666666667
1999-01-17,164.7,57.07,2.8413333333333335,3.695,4.5985,4.699,1.1583333333333332
1999-01-18,164.7,57.07,2.834,3.663,4.61125,4.7059999999999995,1.1595
1999-01-19,164.7,57.07,2.833,3.657,4.624,4.713,1.1595
1999-01-20,164.7,57.07,2.865,3.678,4.641,4.741,1.1551
1999-01-21,164.7,57.07,2.843,3.673,4.606,4.685,1.1603
1999-01-22,164.7,57.07,2.81,3.648,4.555,4.629,1.1585
1999-01-23,164.7,57.07,2.8133333333333335,3.6416666666666666,4.572,4.641,1.1573666666666667
1999-01-24,164.7,57.07,2.8166666666666664,3.6353333333333335,4.5889999999999995,4.653,1.1562333333333334
1999-01-25,164.7,57.07,2.82,3.629,4.606,4.665,1.1551
1999-01-26,164.7,57.07,2.817,3.6455,4.623,4.693,1.156
1999-01-27,164.7,57.07,2.836,3.662,4.467,4.673,1.1443
1999-01-28,164.7,57.07,2.836,3.645,4.566,4.661,1.1408
1999-01-29,164.7,57.07,2.863,3.637,4.583,4.653,1.1365
1999-01-30,164.7,57.07,2.8833333333333333,3.635,4.605,4.686333333333333,1.135
1999-01-31,164.7,57.07,2.9036666666666666,3.635,4.627,4.719666666666667,1.1335
1999-02-01,164.7,57.2,2.924,3.693,4.649,4.753,1.132
1999-02-02,164.7,57.2,2.924,3.71,4.699,4.802,1.135
1999-02-03,164.7,57.2,2.952,3.75,4.716,4.83,1.1305
1999-02-04,164.7,57.2,2.986,3.822,4.767,4.875,1.1341
1999-02-05,164.7,57.2,2.963,3.776,4.801,4.945,1.1257
1999-02-06,164.7,57.2,2.976,3.781,4.7956666666666665,4.938000000000001,1.1276
1999-02-07,164.7,57.2,2.989,3.818,4.790333333333334,4.931,1.1295
1999-02-08,164.7,57.2,3.002,3.855,4.785,4.924,1.1314
1999-02-09,164.7,57.2,2.963,3.787,4.751,4.879,1.1312
1999-02-10,164.7,57.2,2.979,3.79,4.785,4.932,1.132
1999-02-11,164.7,57.2,2.962,3.805,4.819,4.928,1.1216
1999-02-12,164.7,57.2,2.996,3.841,4.906,5.061,1.1303
1999-02-13,164.7,57.2,3.009333333333333,3.865,4.906,5.0504999999999995,1.1275666666666668
1999-02-14,164.7,57.2,3.022666666666667,3.8955,4.906,5.04,1.1248333333333334
1999-02-15,164.7,57.2,3.036,3.926,4.906,5.0295000000000005,1.1221
1999-02-16,164.7,57.2,3.042,3.88,4.906,5.019,1.1209
1999-02-17,164.7,57.2,3.008,3.893,4.873,4.974,1.124
1999-02-18,164.7,57.2,3.025,3.884,4.924,5.057,1.1196
1999-02-19,164.7,57.2,2.967,3.902,4.96,5.078,1.1055
1999-02-20,164.7,57.2,2.967,3.899,4.943,5.058666666666666,1.1043666666666667
1999-02-21,164.7,57.2,2.967,3.8890000000000002,4.926,5.039333333333333,1.1032333333333333
1999-02-22,164.7,57.2,2.967,3.879,4.909,5.02,1.1021
1999-02-23,164.7,57.2,2.95,3.85,4.996,5.103,1.1008
1999-02-24,164.7,57.2,3.013,3.862,5.083,5.179,1.1003
1999-02-25,164.7,57.2,3.048,3.908,5.217,5.353,1.1021
1999-02-26,164.7,57.2,3.142,3.997,5.15,5.294,1.1022
1999-02-27,164.7,57.2,3.167333333333333,4.009,5.166666666666667,5.326666666666666,1.098
1999-02-28,164.7,57.2,3.1926666666666668,4.001,5.183333333333334,5.359333333333334,1.0937999999999999
1999-03-01,164.8,57.38,3.218,4.091,5.2,5.392,1.0896
1999-03-02,164.8,57.38,3.201,4.084,5.134,5.315,1.094
1999-03-03,164.8,57.38,3.237,4.103,5.184,5.384,1.0871
1999-03-04,164.8,57.38,3.19,4.166,5.201,5.419,1.0804
1999-03-05,164.8,57.38,3.078,4.153,5.134,5.32,1.0815
1999-03-06,164.8,57.38,3.078,4.007,5.1226666666666665,5.303,1.0838666666666665
1999-03-07,164.8,57.38,3.078,4.007,5.1113333333333335,5.2860000000000005,1.0862333333333334
1999-03-08,164.8,57.38,3.078,4.038,5.1,5.269,1.0886
1999-03-09,164.8,57.38,3.054,4.098,5.016,5.172,1.0887
1999-03-10,164.8,57.38,3.066,4.066,5.033,5.201,1.094
1999-03-11,164.8,57.38,2.983,4.079,5.033,5.197,1.1036
1999-03-12,164.8,57.38,3.001,4.023,4.982,5.147,1.09
1999-03-13,164.8,57.38,2.975,4.016,4.982,5.149666666666667,1.0905333333333334
1999-03-14,164.8,57.38,2.949,4.037,4.982,5.152333333333334,1.0910666666666666
1999-03-15,164.8,57.38,2.923,4.006,4.982,5.155,1.0916
1999-03-16,164.8,57.38,2.989,4.008,4.965,5.109,1.1009
1999-03-17,164.8,57.38,2.989,3.936,4.982,5.122,1.1005
1999-03-18,164.8,57.38,2.989,3.921,4.982,5.101,1.097
1999-03-19,164.8,57.38,2.995,3.915,5.05,5.181,1.0887
1999-03-20,164.8,57.38,2.995,3.906,5.055666666666666,5.1883333333333335,1.0895666666666666
1999-03-21,164.8,57.38,2.995,3.916,5.061333333333334,5.195666666666667,1.0904333333333334
