Date,Price,Open,High,Low,Change %
8/7/2026,4.241,4.249,4.254,4.237,-0.09%
8/6/2026,4.245,4.185,4.252,4.179,1.58%
8/5/2026,4.179,4.198,4.225,4.175,-0.36%
8/4/2026,4.194,4.246,4.266,4.19,-1.46%
8/3/2026,4.256,4.254,4.264,4.229,-0.82%
7/31/2026,4.291,4.254,4.308,4.227,1.47%
7/30/2026,4.229,4.266,4.297,4.209,-0.17%
7/29/2026,4.236,4.295,4.339,4.217,-0.96%
7/28/2026,4.277,4.322,4.322,4.256,-0.95%
7/27/2026,4.318,4.29,4.335,4.286,-0.30%
7/24/2026,4.331,4.356,4.366,4.307,-0.67%
7/23/2026,4.36,4.304,4.37,4.3,1.35%
7/22/2026,4.302,4.255,4.311,4.249,0.96%
7/21/2026,4.261,4.204,4.268,4.192,1.09%
7/20/2026,4.215,4.196,4.236,4.166,1.03%
7/17/2026,4.172,4.147,4.185,4.111,0.38%
7/16/2026,4.156,4.143,4.179,4.141,0.68%
7/15/2026,4.128,4.187,4.225,4.122,-1.55%
7/14/2026,4.193,4.275,4.298,4.147,-1.64%
7/13/2026,4.263,4.235,4.288,4.214,1.31%
7/10/2026,4.208,4.179,4.214,4.154,1.11%
7/9/2026,4.162,4.214,4.218,4.154,-0.93%
7/8/2026,4.201,4.189,4.235,4.17,0.94%
7/7/2026,4.162,4.116,4.191,4.116,0.90%
7/6/2026,4.125,4.135,4.137,4.104,-0.15%
7/2/2026,4.131,4.172,4.197,4.104,-0.79%
7/1/2026,4.164,4.17,4.199,4.133,0.60%
6/30/2026,4.139,4.107,4.179,4.096,0.73%
6/29/2026,4.109,4.096,4.123,4.092,0.51%
6/26/2026,4.088,4.125,4.129,4.069,-0.80%
6/25/2026,4.121,4.152,4.164,4.094,-0.39%
6/24/2026,4.137,4.195,4.209,4.133,-1.31%
6/23/2026,4.192,4.228,4.228,4.181,-0.90%
6/22/2026,4.23,4.228,4.236,4.206,1.22%
6/18/2026,4.179,4.18,4.217,4.141,0.38%
6/17/2026,4.163,4.058,4.22,4.043,2.87%
6/16/2026,4.047,4.068,4.075,4.035,-0.42%
6/15/2026,4.064,4.024,4.073,4.016,-0.51%
6/12/2026,4.085,4.066,4.106,4.037,0.37%
6/11/2026,4.07,4.154,4.16,4.041,-1.38%
6/10/2026,4.127,4.135,4.181,4.106,0.07%
6/9/2026,4.124,4.164,4.172,4.112,-0.82%
6/8/2026,4.158,4.174,4.201,4.124,-0.10%
6/5/2026,4.162,4.047,4.178,4.027,2.79%
6/4/2026,4.049,4.074,4.08,4.024,-0.86%
6/3/2026,4.084,4.058,4.095,4.051,0.81%
6/2/2026,4.051,4.037,4.053,4.008,0.00%
6/1/2026,4.051,4.031,4.09,4.025,0.92%
5/29/2026,4.014,4.023,4.035,3.986,-0.27%
5/28/2026,4.025,4.056,4.08,3.992,-0.20%
5/27/2026,4.033,4.185,4.051,4.006,-0.35%
5/26/2026,4.047,4.059,4.079,4.034,-0.24%
5/25/2026,4.057,4.051,4.057,4.05,-1.70%
5/22/2026,4.127,4.083,4.144,4.053,0.98%
5/21/2026,4.087,4.061,4.117,4.047,1.21%
5/20/2026,4.038,4.11,4.129,4.011,-2.04%
5/19/2026,4.122,4.056,4.139,4.052,0.78%
5/18/2026,4.09,4.09,4.105,4.037,0.15%
5/15/2026,4.084,4.023,4.088,4.023,2.30%
5/14/2026,3.992,3.979,4.023,3.954,0.05%
5/13/2026,3.99,3.991,4.017,3.975,-0.15%
5/12/2026,3.996,3.958,4.002,3.956,1.24%
5/11/2026,3.947,3.922,3.958,3.908,1.39%
5/8/2026,3.893,3.911,3.951,3.872,-0.66%
5/7/2026,3.919,3.87,3.926,3.824,1.21%
5/6/2026,3.872,3.915,3.917,3.839,-1.68%
5/5/2026,3.938,3.954,3.958,3.923,-0.61%
5/4/2026,3.962,3.921,3.993,3.907,1.90%
5/1/2026,3.888,3.885,3.904,3.845,0.08%
4/30/2026,3.885,3.937,3.945,3.867,-1.20%
4/29/2026,3.932,3.846,3.953,3.836,2.29%
4/28/2026,3.844,3.795,3.854,3.793,1.13%
4/27/2026,3.801,3.806,3.816,3.784,0.66%
4/24/2026,3.776,3.834,3.846,3.772,-1.28%
4/23/2026,3.825,3.802,3.849,3.789,0.82%
4/22/2026,3.794,3.781,3.806,3.754,0.40%
4/21/2026,3.779,3.723,3.806,3.718,1.70%
4/20/2026,3.716,3.737,3.744,3.71,0.43%
4/17/2026,3.7,3.776,3.784,3.679,-2.06%
4/16/2026,3.778,3.753,3.786,3.742,0.32%
4/15/2026,3.766,3.745,3.78,3.739,0.40%
4/14/2026,3.751,3.772,3.795,3.745,-0.79%
4/13/2026,3.781,3.849,3.849,3.772,-0.53%
4/10/2026,3.801,3.781,3.812,3.75,0.48%
4/9/2026,3.783,3.792,3.8,3.742,-0.29%
4/8/2026,3.794,3.732,3.798,3.713,-1.02%
4/7/2026,3.833,3.85,3.877,3.792,-0.44%
4/6/2026,3.85,3.858,3.877,3.835,-0.05%
4/3/2026,3.852,3.8,3.891,3.8,1.42%
4/2/2026,3.798,3.807,3.866,3.778,-0.13%
4/1/2026,3.803,3.781,3.817,3.736,0.11%
3/31/2026,3.799,3.834,3.84,3.754,-0.76%
3/30/2026,3.828,3.885,3.9,3.807,-2.25%
3/27/2026,3.916,3.974,4.027,3.9,-1.71%
3/26/2026,3.984,3.895,4,3.894,2.65%
3/25/2026,3.881,3.883,3.906,3.85,-1.17%
3/24/2026,3.927,3.845,3.966,3.841,2.51%
3/23/2026,3.831,3.93,4.016,3.792,-1.62%
3/20/2026,3.894,3.845,3.943,3.815,1.59%
3/19/2026,3.833,3.786,3.96,3.759,2.40%
3/18/2026,3.743,3.682,3.79,3.655,1.96%
3/17/2026,3.671,3.68,3.695,3.655,-0.24%
3/16/2026,3.68,3.708,3.715,3.669,-1.45%
3/13/2026,3.734,3.737,3.761,3.688,-0.74%
3/12/2026,3.762,3.686,3.766,3.638,3.47%
3/11/2026,3.636,3.59,3.657,3.571,1.88%
3/10/2026,3.569,3.556,3.596,3.53,-0.64%
3/9/2026,3.592,3.614,3.635,3.536,1.01%
3/6/2026,3.556,3.578,3.631,3.519,-1.19%
3/5/2026,3.599,3.549,3.599,3.547,1.58%
3/4/2026,3.543,3.523,3.553,3.498,1.23%
3/3/2026,3.5,3.473,3.599,3.469,0.37%
3/2/2026,3.487,3.373,3.502,3.365,3.20%
2/27/2026,3.379,3.42,3.426,3.375,-2.00%
2/26/2026,3.448,3.465,3.479,3.432,-0.66%
2/25/2026,3.471,3.451,3.481,3.448,0.29%
2/24/2026,3.461,3.444,3.472,3.444,0.61%
